-5.73, -15.47, 41.72
-5.56, -15.27, 41.69
-5.20, -15.05, 41.68
-5.17, -15.05, 41.69
-5.32, -14.75, 41.71
-5.53, -14.55, 41.77
-5.84, -14.44, 41.89
-6.83, -14.71, 41.93
-8.12, -14.81, 42.24
-8.79, -12.73, 42.72
-8.40, -10.87, 42.91
-8.31, -8.85, 43.03
-9.03, -9.16, 43.12
-8.51, -8.76, 43.13
-8.73, -8.80, 43.21
-10.07, -7.83, 43.36
-8.24, -8.11, 43.12
-8.00, -11.19, 42.92
-5.12, -15.83, 41.57
-3.80, -18.37, 40.53
-1.99, -20.93, 39.16
-0.09, -23.24, 37.37
0.55, -26.08, 35.09
-0.48, -30.16, 32.69
-2.77, -32.27, 31.65
-0.21, -33.81, 29.04
0.16, -36.85, 25.16
1.52, -39.19, 20.55
0.37, -41.96, 15.44
2.31, -42.67, 10.79
2.41, -43.87, 4.33
3.37, -43.81, -1.36
3.91, -43.51, -2.96
3.71, -43.40, -6.09
-0.29, -45.15, -6.52
1.07, -43.97, -10.72
1.25, -42.80, -15.29
0.64, -41.37, -20.17
2.04, -37.93, -25.59
2.05, -35.33, -29.32
3.51, -30.79, -33.17
3.37, -26.04, -36.96
-1.80, -24.35, -40.75
-3.44, -19.73, -43.33
-6.15, -17.03, -44.99
-6.99, -14.92, -45.57
-6.71, -10.17, -46.16
-7.76, -7.33, -46.40
-9.04, -5.13, -46.63
-11.93, -3.05, -46.84
-13.63, -0.49, -46.60
-15.68, -0.88, -46.85
-15.07, 3.03, -45.69
-15.43, 5.60, -44.75
-15.16, 7.55, -43.92
-15.55, 9.56, -42.87
-16.19, 13.96, -40.03
-16.15, 16.68, -37.80
-15.60, 19.01, -35.55
-15.08, 20.53, -33.91
-14.55, 23.13, -30.53
-14.28, 24.40, -28.69
-14.00, 24.56, -28.45
-13.77, 24.81, -28.12
-13.63, 24.63, -28.35
-13.61, 23.87, -29.57
-14.33, 19.77, -34.80
-14.72, 15.71, -38.65
-15.40, 13.65, -40.31
-15.27, 12.69, -40.99
-16.28, 10.25, -42.63
-18.61, 7.19, -44.19
-19.99, 5.51, -44.85
-20.04, 3.21, -45.75
-18.28, -1.05, -46.99
-18.51, -7.03, -47.71
-12.68, -4.43, -47.19
-12.33, -9.00, -47.49
-10.41, -11.17, -47.04
-11.92, -14.05, -47.00
-13.36, -16.91, -46.61
-17.76, -18.24, -46.47
-19.99, -18.33, -46.40
-20.64, -16.39, -46.79
-21.84, -17.27, -46.41
-22.93, -16.93, -46.36
-24.17, -17.28, -46.12
-25.67, -18.19, -45.56
-25.16, -17.08, -45.97
-29.81, -32.16, -36.03
-32.13, -42.76, -19.21
-30.95, -44.49, -14.80
-29.77, -45.84, -9.64
-28.84, -45.17, 8.73
-28.81, -44.81, 9.92
-29.01, -41.89, 17.75
-29.16, -41.51, 18.43
-29.52, -40.33, 20.35
-29.52, -38.59, 23.28
-29.75, -37.03, 25.24
-29.64, -35.11, 27.59
-29.72, -34.52, 28.25
-29.27, -33.23, 29.69
-29.40, -32.67, 30.23
-29.37, -32.33, 30.53
-29.88, -33.16, 29.51
-29.71, -33.24, 29.40
-29.33, -33.03, 29.81
-29.67, -33.59, 29.08
-29.36, -32.87, 30.08
-29.60, -31.67, 31.11
-28.92, -30.28, 32.71
-28.32, -32.47, 30.99
-27.69, -31.35, 32.28
-26.71, -29.41, 34.33
-24.61, -17.45, 40.84
-22.15, -5.41, 42.65
-20.00, -1.89, 42.65
-18.48, 3.29, 41.61
-16.21, 13.69, 36.60
-15.88, 15.81, 35.03
-13.33, 19.63, 31.72
-11.37, 21.95, 28.89
-9.07, 26.07, 22.65
-6.64, 27.47, 18.93
-2.59, 27.83, 15.96
0.87, 29.25, 5.67
4.71, 27.69, -6.43
9.21, 23.97, -12.24
11.48, 19.67, -18.53
11.35, 13.67, -27.21
11.35, 10.40, -30.28
9.93, 5.64, -34.59
8.61, 1.89, -37.19
7.96, -3.25, -38.97
6.95, -10.55, -39.92
9.52, -17.92, -36.32
8.81, -25.27, -33.28
8.39, -29.52, -30.16
7.32, -35.33, -24.15
8.69, -38.60, -15.51
7.77, -40.24, -12.51
7.36, -41.11, -9.47
7.41, -41.27, -7.87
6.87, -41.92, -5.68
7.32, -41.87, -0.95
5.45, -42.75, 3.69
3.57, -43.20, 6.89
2.93, -42.76, 10.61
1.33, -41.99, 15.59
0.13, -41.80, 17.16
-0.25, -41.07, 19.00
-0.67, -39.61, 22.21
-1.21, -37.45, 25.93
-2.96, -34.53, 30.49
-3.21, -32.07, 32.97
-3.41, -29.53, 35.23
-3.25, -25.21, 38.07
-3.95, -24.32, 38.68
-4.88, -21.88, 40.16
-5.04, -17.48, 41.80
-4.45, -12.04, 42.85
-2.95, -4.55, 42.73
-3.31, -1.47, 42.43
-3.15, 1.03, 41.89
-3.00, 3.79, 41.07
-2.37, 6.68, 39.77
-2.27, 9.43, 38.39
-1.96, 13.55, 35.57
-1.77, 15.73, 33.77
-1.76, 18.84, 30.65
-1.00, 22.57, 25.73
-0.57, 25.39, 20.76
0.29, 28.05, 13.49
-0.60, 29.93, 6.69
-0.20, 30.32, 0.45
0.99, 29.72, -4.83
1.63, 28.81, -9.60
2.29, 27.68, -13.11
2.89, 25.92, -17.61
3.48, 24.47, -20.17
1.76, 23.59, -23.64
1.64, 22.15, -26.01
